wiki_header,class,key_1,key_2
ロジスティック方程式,4,r_01_ロジスティック方程式_平易化.xlsx,r_02_ロジスティック方程式_平易化.xlsx
広東システム,2,r_01_広東システム_平易化.xlsx,r_02_広東システム_平易化.xlsx
クレタ島の歴史,2,r_01_クレタ島の歴史_平易化.xlsx,r_02_クレタ島の歴史_平易化.xlsx
発芽,4,r_01_発芽_平易化.xlsx,r_02_発芽_平易化.xlsx
お白石持,1,r_01_お白石持_平易化.xlsx,r_02_お白石持_平易化.xlsx
ヒトデ,4,r_01_ヒトデ_平易化.xlsx,r_02_ヒトデ_平易化.xlsx
オットー・フォン・ハプスブルク,2,r_01_オットー・フォン・ハプスブルク_平易化.xlsx,r_02_オットー・フォン・ハプスブルク_平易化.xlsx
ジェレミー・ソープ,2,r_01_ジェレミー・ソープ_平易化.xlsx,r_02_ジェレミー・ソープ_平易化.xlsx
豊橋市の映画館,7,r_01_豊橋市の映画館_平易化.xlsx,r_02_豊橋市の映画館_平易化.xlsx
タンジマート,2,r_01_タンジマート_平易化.xlsx,r_02_タンジマート_平易化.xlsx
プランバナン寺院群,1,r_01_プランバナン寺院群_平易化.xlsx,r_02_プランバナン寺院群_平易化.xlsx
ヘビの鱗,4,r_01_ヘビの鱗_平易化.xlsx,r_02_ヘビの鱗_平易化.xlsx
イリオモテヤマネコ,4,r_01_イリオモテヤマネコ_平易化.xlsx,r_02_イリオモテヤマネコ_平易化.xlsx
アレクサンドル・ゴルチャコフ,2,r_01_アレクサンドル・ゴルチャコフ_平易化.xlsx,r_02_アレクサンドル・ゴルチャコフ_平易化.xlsx
北西航路,6,r_01_北西航路_平易化.xlsx,r_02_北西航路_平易化.xlsx
鷲子山上神社,1,r_01_鷲子山上神社_平易化.xlsx,r_02_鷲子山上神社_平易化.xlsx
オオカミの再導入,4,r_01_オオカミの再導入_平易化.xlsx,r_02_オオカミの再導入_平易化.xlsx
玉置神社,1,r_01_玉置神社_平易化.xlsx,r_02_玉置神社_平易化.xlsx
スティエパン・トマシェヴィチ (ボスニア王),2,r_01_スティエパン・トマシェヴィチ (ボスニア王)_平易化.xlsx,r_02_スティエパン・トマシェヴィチ (ボスニア王)_平易化.xlsx
ウィリアム・ペティ (第2代シェルバーン伯),2,r_01_ウィリアム・ペティ (第2代シェルバーン伯)_平易化.xlsx,r_02_ウィリアム・ペティ (第2代シェルバーン伯)_平易化.xlsx
ハイセイコー,7,r_01_ハイセイコー_平易化.xlsx,r_02_ハイセイコー_平易化.xlsx
斎藤智恵子,2,r_01_斎藤智恵子_平易化.xlsx,r_02_斎藤智恵子_平易化.xlsx
法量,7,r_01_法量_平易化.xlsx,r_02_法量_平易化.xlsx
アフリカン・ワックス・プリント,3,r_01_アフリカン・ワックス・プリント_平易化.xlsx,r_02_アフリカン・ワックス・プリント_平易化.xlsx
大山崎油座,2,r_01_大山崎油座_平易化.xlsx,r_02_大山崎油座_平易化.xlsx
山中貞雄,7,r_01_山中貞雄_平易化.xlsx,r_02_山中貞雄_平易化.xlsx
電気,5,r_01_電気_平易化.xlsx,r_02_電気_平易化.xlsx
三越日本橋本店,6,r_01_三越日本橋本店_平易化.xlsx,r_02_三越日本橋本店_平易化.xlsx
褐藻,4,r_01_褐藻_平易化.xlsx,r_02_褐藻_平易化.xlsx
北樺太石油,2,r_01_北樺太石油_平易化.xlsx,r_02_北樺太石油_平易化.xlsx
檜山丸 (初代),5,r_01_檜山丸 (初代)_平易化.xlsx,r_02_檜山丸 (初代)_平易化.xlsx
なんちゃっておじさん,3,r_01_なんちゃっておじさん_平易化.xlsx,r_02_なんちゃっておじさん_平易化.xlsx
老人と海,9,r_01_老人と海_平易化.xlsx,r_02_老人と海_平易化.xlsx
木曽川電力,5,r_01_木曽川電力_平易化.xlsx,r_02_木曽川電力_平易化.xlsx
アレクサンダー・グラハム・ベル,2,r_01_アレクサンダー・グラハム・ベル_平易化.xlsx,r_02_アレクサンダー・グラハム・ベル_平易化.xlsx
コソボの歴史,2,r_01_コソボの歴史_平易化.xlsx,r_02_コソボの歴史_平易化.xlsx
シジミタテハ科,4,r_01_シジミタテハ科_平易化.xlsx,r_02_シジミタテハ科_平易化.xlsx
パルミラ,2,r_01_パルミラ_平易化.xlsx,r_02_パルミラ_平易化.xlsx
たんぽぽ (小説),9,r_01_たんぽぽ (小説)_平易化.xlsx,r_02_たんぽぽ (小説)_平易化.xlsx
私作る人、僕食べる人,6,r_01_私作る人、僕食べる人_平易化.xlsx,r_02_私作る人、僕食べる人_平易化.xlsx
名鉄モ770形電車 (初代),5,r_01_名鉄モ770形電車 (初代)_平易化.xlsx,r_02_名鉄モ770形電車 (初代)_平易化.xlsx
バタフライ効果,4,r_01_バタフライ効果_平易化.xlsx,r_02_バタフライ効果_平易化.xlsx
小松 (料亭),2,r_01_小松 (料亭)_平易化.xlsx,r_02_小松 (料亭)_平易化.xlsx
マリ・キュリー,2,r_01_マリ・キュリー_平易化.xlsx,r_02_マリ・キュリー_平易化.xlsx
ストーンウォールの反乱,2,r_01_ストーンウォールの反乱_平易化.xlsx,r_02_ストーンウォールの反乱_平易化.xlsx
大洋,4,r_01_大洋_平易化.xlsx,r_02_大洋_平易化.xlsx
フェルディナント・ライトナー,7,r_01_フェルディナント・ライトナー_平易化.xlsx,r_02_フェルディナント・ライトナー_平易化.xlsx
高橋至時,2,r_01_高橋至時_平易化.xlsx,r_02_高橋至時_平易化.xlsx
マリー＝アンヌ・ピエレット・ポールズ,2,r_01_マリー＝アンヌ・ピエレット・ポールズ_平易化.xlsx,r_02_マリー＝アンヌ・ピエレット・ポールズ_平易化.xlsx
神道の歴史,1,r_01_神道の歴史_平易化.xlsx,r_02_神道の歴史_平易化.xlsx
貝貨,3,r_01_貝貨_平易化.xlsx,r_02_貝貨_平易化.xlsx
ナスル (ナスル朝),2,r_01_ナスル (ナスル朝)_平易化.xlsx,r_02_ナスル (ナスル朝)_平易化.xlsx
水琴窟,6,r_01_水琴窟_平易化.xlsx,r_02_水琴窟_平易化.xlsx
利根川,2,s_01_利根川_平易化.xlsx,s_02_利根川.xlsx
尼港事件,2,r_01_尼港事件_平易化.xlsx,r_02_尼港事件_平易化.xlsx
バラク・オバマの国籍陰謀論,3,r_01_バラク・オバマの国籍陰謀論_平易化.xlsx,r_02_バラク・オバマの国籍陰謀論_平易化.xlsx
名鉄モ600形電車 (2代),5,r_01_名鉄モ600形電車 (2代)_平易化.xlsx,r_02_名鉄モ600形電車 (2代)_平易化.xlsx
イレーヌ・ジョリオ＝キュリー,2,r_01_イレーヌ・ジョリオ＝キュリー_平易化.xlsx,r_02_イレーヌ・ジョリオ＝キュリー_平易化.xlsx
キャラ (コミュニケーション),3,r_01_キャラ (コミュニケーション)_平易化.xlsx,r_02_キャラ (コミュニケーション)_平易化.xlsx
名鉄6600系電車,5,r_01_名鉄6600系電車_平易化.xlsx,r_02_名鉄6600系電車_平易化.xlsx
一宮市立図書館,0,r_01_一宮市立図書館_平易化.xlsx,r_02_一宮市立図書館_平易化.xlsx
伊東里き,2,r_01_伊東里き_平易化.xlsx,r_02_伊東里き_平易化.xlsx
飛騨電灯,5,r_01_飛騨電灯_平易化.xlsx,r_02_飛騨電灯_平易化.xlsx
陸奥国分寺,1,r_01_陸奥国分寺_平易化.xlsx,r_02_陸奥国分寺_平易化.xlsx
大嶺炭田,5,r_01_大嶺炭田_平易化.xlsx,r_02_大嶺炭田_平易化.xlsx
4分33秒,7,r_01_4分33秒_平易化.xlsx,r_02_4分33秒_平易化.xlsx
二条藤子,2,r_01_二条藤子_平易化.xlsx,r_02_二条藤子_平易化.xlsx
ミスターシービー,7,r_01_ミスターシービー_平易化.xlsx,r_02_ミスターシービー_平易化.xlsx
一家四人死刑事件,3,r_01_一家四人死刑事件_平易化.xlsx,r_02_一家四人死刑事件_平易化.xlsx
クリーブランド (オハイオ州),2,r_01_クリーブランド (オハイオ州)_平易化.xlsx,r_02_クリーブランド (オハイオ州)_平易化.xlsx
榛名湖,2,r_01_榛名湖_平易化.xlsx,r_02_榛名湖_平易化.xlsx
北海道の神社の歴史,1,r_01_北海道の神社の歴史_平易化.xlsx,r_02_北海道の神社の歴史_平易化.xlsx
古池や蛙飛びこむ水の音,9,r_01_古池や蛙飛びこむ水の音_平易化.xlsx,r_02_古池や蛙飛びこむ水の音_平易化.xlsx
筑波山神社,1,r_01_筑波山神社_平易化.xlsx,r_02_筑波山神社_平易化.xlsx
信貴山城,2,r_01_信貴山城_平易化.xlsx,r_02_信貴山城_平易化.xlsx
ラブカ,4,r_01_ラブカ_平易化.xlsx,r_02_ラブカ_平易化.xlsx
正受庵,1,r_01_正受庵_平易化.xlsx,r_02_正受庵_平易化.xlsx
アースキン・メイ (初代ファーンバラ男爵),2,r_01_アースキン・メイ (初代ファーンバラ男爵)_平易化.xlsx,r_02_アースキン・メイ (初代ファーンバラ男爵)_平易化.xlsx
紙本墨書南番文字,7,r_01_紙本墨書南番文字_平易化.xlsx,r_02_紙本墨書南番文字_平易化.xlsx
HD 189733 b,4,r_01_HD 189733 b_平易化.xlsx,r_02_HD 189733 b_平易化.xlsx
ポジャールスキー公 (装甲巡洋艦),5,r_01_ポジャールスキー公 (装甲巡洋艦)_平易化.xlsx,r_02_ポジャールスキー公 (装甲巡洋艦)_平易化.xlsx
セイロン侵攻,2,r_01_セイロン侵攻_平易化.xlsx,r_02_セイロン侵攻_平易化.xlsx
ナリタブライアン,7,s_01_ナリタブライアン_平易化.xlsx,s_02_ナリタブライアン_平易化.xlsx
ツァボの人食いライオン,4,r_01_ツァボの人食いライオン_平易化.xlsx,r_02_ツァボの人食いライオン_平易化.xlsx
カミーユ・サン＝サーンス,7,r_01_カミーユ・サン＝サーンス_平易化.xlsx,r_02_カミーユ・サン＝サーンス_平易化.xlsx
鴨島 (島根県),2,r_01_鴨島 (島根県)_平易化.xlsx,r_02_鴨島 (島根県)_平易化.xlsx
レオナルド・ダ・ヴィンチ,2,r_01_レオナルド・ダ・ヴィンチ_平易化.xlsx,r_02_レオナルド・ダ・ヴィンチ_平易化.xlsx
ヴァイマル共和政のハイパーインフレーション,2,r_01_ヴァイマル共和政のハイパーインフレーション_平易化.xlsx,r_02_ヴァイマル共和政のハイパーインフレーション_平易化.xlsx
京王9000系電車,5,r_01_京王9000系電車_平易化.xlsx,r_02_京王9000系電車_平易化.xlsx
オーロラ,4,r_01_オーロラ_平易化.xlsx,r_02_オーロラ_平易化.xlsx
小田原電気鉄道チキ1形電車,5,r_01_小田原電気鉄道チキ1形電車_平易化.xlsx,r_02_小田原電気鉄道チキ1形電車_平易化.xlsx
司ちゃん誘拐殺人事件,3,r_01_司ちゃん誘拐殺人事件_平易化.xlsx,r_02_司ちゃん誘拐殺人事件_平易化.xlsx
ユダの手紙,1,r_01_ユダの手紙_平易化.xlsx,r_02_ユダの手紙_平易化.xlsx
イタセンパラ,4,r_01_イタセンパラ_平易化.xlsx,r_02_イタセンパラ_平易化.xlsx
チンドン屋,6,s_01_チンドン屋_平易化.xlsx,s_02_チンドン屋_平易化.xlsx
曾良旅日記,9,r_01_曾良旅日記_平易化.xlsx,r_02_曾良旅日記_平易化.xlsx
公海,3,r_01_公海_平易化.xlsx,r_02_公海_平易化.xlsx
福山藩の砂留,6,r_01_福山藩の砂留_平易化.xlsx,r_02_福山藩の砂留_平易化.xlsx
杉原千畝,2,r_01_杉原千畝_平易化.xlsx,r_02_杉原千畝_平易化.xlsx
岡上菊栄,2,r_01_岡上菊栄_平易化.xlsx,r_02_岡上菊栄_平易化.xlsx
ステンレス鋼の歴史,5,s_01_ステンレス鋼の歴史_平易化.xlsx,s_02_ステンレス鋼の歴史_平易化.xlsx
名鉄850系電車,5,r_01_名鉄850系電車_平易化.xlsx,r_02_名鉄850系電車_平易化.xlsx
境界性パーソナリティ障害,4,r_01_境界性パーソナリティ障害_平易化.xlsx,r_02_境界性パーソナリティ障害_平易化.xlsx
国分氏 (陸奥国),2,r_01_国分氏 (陸奥国)_平易化.xlsx,r_02_国分氏 (陸奥国)_平易化.xlsx
香椎宮,1,r_01_香椎宮_平易化.xlsx,r_02_香椎宮_平易化.xlsx
リミットサイクル,4,r_01_リミットサイクル_平易化.xlsx,r_02_リミットサイクル_平易化.xlsx
オゴデイ・ウルス,2,r_01_オゴデイ・ウルス_平易化.xlsx,r_02_オゴデイ・ウルス_平易化.xlsx
如意ヶ嶽,2,r_01_如意ヶ嶽_平易化.xlsx,r_02_如意ヶ嶽_平易化.xlsx
鉱業,5,r_01_鉱業_平易化.xlsx,r_02_鉱業_平易化.xlsx
ジェームズ・ワット,2,r_01_ジェームズ・ワット_平易化.xlsx,r_02_ジェームズ・ワット_平易化.xlsx
甑島列島,2,r_01_甑島列島_平易化.xlsx,r_02_甑島列島_平易化.xlsx
愛知県蟹江町母子3人殺傷事件,3,r_01_愛知県蟹江町母子3人殺傷事件_平易化.xlsx,r_02_愛知県蟹江町母子3人殺傷事件_平易化.xlsx
インドハッカ,4,r_01_インドハッカ_平易化.xlsx,r_02_インドハッカ_平易化.xlsx
八鹿高校事件,3,r_01_八鹿高校事件_平易化.xlsx,r_02_八鹿高校事件_平易化.xlsx
法隆寺金堂薬師如来像光背銘,1,r_01_法隆寺金堂薬師如来像光背銘_平易化.xlsx,r_02_法隆寺金堂薬師如来像光背銘_平易化.xlsx
かぐや姫の物語,7,r_01_かぐや姫の物語_平易化.xlsx,r_02_かぐや姫の物語_平易化.xlsx
頼品妤,2,r_01_頼品妤_平易化.xlsx,r_02_頼品妤_平易化.xlsx
新宝島 (曲),7,r_01_新宝島 (曲)_平易化.xlsx,r_02_新宝島 (曲)_平易化.xlsx
有松・鳴海絞り,5,r_01_有松・鳴海絞り_平易化.xlsx,r_02_有松・鳴海絞り_平易化.xlsx
フォッケウルフ Fw190,5,r_01_フォッケウルフ Fw190_平易化.xlsx,r_02_フォッケウルフ Fw190_平易化.xlsx
秋田城,2,r_01_秋田城_平易化.xlsx,r_02_秋田城_平易化.xlsx
空がすき!,7,r_01_空がすき!_平易化.xlsx,r_02_空がすき!_平易化.xlsx
アロハ航空243便事故,6,s_01_アロハ航空243便事故_平易化.xlsx,s_02_アロハ航空243便事故_平易化.xlsx
宇川のアユ,6,r_01_宇川のアユ_平易化.xlsx,r_02_宇川のアユ_平易化.xlsx
飛鳥寺,1,r_01_飛鳥寺_平易化.xlsx,r_02_飛鳥寺_平易化.xlsx
日本の古瓦,7,r_01_日本の古瓦_平易化.xlsx,r_02_日本の古瓦_平易化.xlsx
ルイ14世 (フランス王),2,r_01_ルイ14世 (フランス王)_平易化.xlsx,r_02_ルイ14世 (フランス王)_平易化.xlsx
アポロ計画,5,r_01_アポロ計画_平易化.xlsx,r_02_アポロ計画_平易化.xlsx
アーサー・ウェルズリー (初代ウェリントン公爵),2,r_01_アーサー・ウェルズリー (初代ウェリントン公爵)_平易化.xlsx,r_02_アーサー・ウェルズリー (初代ウェリントン公爵)_平易化.xlsx
生口島,2,r_01_生口島_平易化.xlsx,r_02_生口島_平易化.xlsx
阿児町国府,2,r_01_阿児町国府_平易化.xlsx,r_02_阿児町国府_平易化.xlsx
バリウム,4,r_01_バリウム_平易化.xlsx,r_02_バリウム_平易化.xlsx
THE DREAM CHAPTER: ETERNITY,7,r_01_THE DREAM CHAPTER_ ETERNITY_平易化.xlsx,r_02_THE DREAM CHAPTER_ ETERNITY_平易化.xlsx
無生野の大念仏,3,r_01_無生野の大念仏_平易化.xlsx,r_02_無生野の大念仏_平易化.xlsx
涼宮ハルヒの消失 (映画),7,r_01_涼宮ハルヒの消失 (映画)_平易化.xlsx,r_02_涼宮ハルヒの消失 (映画)_平易化.xlsx
今中慎二,7,r_01_今中慎二_平易化.xlsx,r_02_今中慎二_平易化.xlsx
エアバスA319,5,r_01_エアバスA319_平易化.xlsx,r_02_エアバスA319_平易化.xlsx
アフリカ文学,9,r_01_アフリカ文学_平易化.xlsx,r_02_アフリカ文学_平易化.xlsx
サハラ交易,2,r_01_サハラ交易_平易化.xlsx,r_02_サハラ交易_平易化.xlsx
ペレ,7,r_01_ペレ_平易化.xlsx,r_02_ペレ_平易化.xlsx
黒谷和紙,5,r_01_黒谷和紙_平易化.xlsx,r_02_黒谷和紙_平易化.xlsx
両生類の減少,4,r_01_両生類の減少_平易化.xlsx,r_02_両生類の減少_平易化.xlsx
富山県立図書館,0,r_01_富山県立図書館_平易化.xlsx,r_02_富山県立図書館_平易化.xlsx
のりたま,5,r_01_のりたま_平易化.xlsx,r_02_のりたま_平易化.xlsx
エルコンドルパサー,7,r_01_エルコンドルパサー_平易化.xlsx,r_02_エルコンドルパサー_平易化.xlsx
松尾大社,1,r_01_松尾大社_平易化.xlsx,r_02_松尾大社_平易化.xlsx
エウロパ (衛星),4,r_01_エウロパ (衛星)_平易化.xlsx,r_02_エウロパ (衛星)_平易化.xlsx
コンスタンティノープル包囲戦 (717年-718年),2,r_01_コンスタンティノープル包囲戦 (717年-718年)_平易化.xlsx,r_02_コンスタンティノープル包囲戦 (717年-718年)_平易化.xlsx
かんなみ仏の里美術館,7,r_01_かんなみ仏の里美術館_平易化.xlsx,r_02_かんなみ仏の里美術館_平易化.xlsx
坂本龍馬,2,r_01_坂本龍馬_平易化.xlsx,r_02_坂本龍馬_平易化.xlsx
松阪電気,5,r_01_松阪電気_平易化.xlsx,r_02_松阪電気_平易化.xlsx
トキノミノル,7,r_01_トキノミノル_平易化.xlsx,r_02_トキノミノル_平易化.xlsx
魔女見習いをさがして,7,r_01_魔女見習いをさがして_平易化.xlsx,r_02_魔女見習いをさがして_平易化.xlsx
賦,9,r_01_賦_平易化.xlsx,r_02_賦_平易化.xlsx
ヨロイザメ,4,r_01_ヨロイザメ_平易化.xlsx,r_02_ヨロイザメ_平易化.xlsx
スウェーデン系フィンランド人,3,r_01_スウェーデン系フィンランド人_平易化.xlsx,r_02_スウェーデン系フィンランド人_平易化.xlsx
小島事件,3,r_01_小島事件_平易化.xlsx,r_02_小島事件_平易化.xlsx
広島大仏,7,r_01_広島大仏_平易化.xlsx,r_02_広島大仏_平易化.xlsx
コソボ紛争,2,r_01_コソボ紛争_平易化.xlsx,r_02_コソボ紛争_平易化.xlsx
ピンクスライム,6,r_01_ピンクスライム_平易化.xlsx,r_02_ピンクスライム_平易化.xlsx
閏秒,4,r_01_閏秒_平易化.xlsx,r_02_閏秒_平易化.xlsx
屋上の狂人,9,r_01_屋上の狂人_平易化.xlsx,r_02_屋上の狂人_平易化.xlsx
ヴィクトリア (イギリス女王),2,r_01_ヴィクトリア (イギリス女王)_平易化.xlsx,r_02_ヴィクトリア (イギリス女王)_平易化.xlsx
ペイル・ブルー・ドット,4,r_01_ペイル・ブルー・ドット_平易化.xlsx,r_02_ペイル・ブルー・ドット_平易化.xlsx
渋谷黎子,2,r_01_渋谷黎子_平易化.xlsx,r_02_渋谷黎子_平易化.xlsx
クマのプーさん,9,r_01_クマのプーさん_平易化.xlsx,r_02_クマのプーさん_平易化.xlsx
歴史地震,4,r_01_歴史地震_平易化.xlsx,r_02_歴史地震_平易化.xlsx
我等の生涯の最良の年,7,r_01_我等の生涯の最良の年_平易化.xlsx,r_02_我等の生涯の最良の年_平易化.xlsx
デルフト眺望,7,r_01_デルフト眺望_平易化.xlsx,r_02_デルフト眺望_平易化.xlsx
マルセル・プルースト,9,r_01_マルセル・プルースト_平易化.xlsx,r_02_マルセル・プルースト_平易化.xlsx
ナスル朝,2,r_01_ナスル朝_平易化.xlsx,r_02_ナスル朝_平易化.xlsx
エドヴァルド・ムンク,7,r_01_エドヴァルド・ムンク_平易化.xlsx,r_02_エドヴァルド・ムンク_平易化.xlsx
水谷新六,2,r_01_水谷新六_平易化.xlsx,r_02_水谷新六_平易化.xlsx
紅藻,4,r_01_紅藻_平易化.xlsx,r_02_紅藻_平易化.xlsx
イタリア統一運動,2,r_01_イタリア統一運動_平易化.xlsx,r_02_イタリア統一運動_平易化.xlsx
リーゼ・マイトナー,2,r_01_リーゼ・マイトナー_平易化.xlsx,r_02_リーゼ・マイトナー_平易化.xlsx
アウター・ヘブリディーズ,2,r_01_アウター・ヘブリディーズ_平易化.xlsx,r_02_アウター・ヘブリディーズ_平易化.xlsx
多摩湖鉄道の鉄道車両,5,r_01_多摩湖鉄道の鉄道車両_平易化.xlsx,r_02_多摩湖鉄道の鉄道車両_平易化.xlsx
立憲民主党 (ロシア),2,s_01_立憲民主党 (ロシア)_平易化.xlsx,s_02_立憲民主党 (ロシア).xlsx
ヴィルヘルム2世 (ドイツ皇帝),2,r_01_ヴィルヘルム2世 (ドイツ皇帝)_平易化.xlsx,r_02_ヴィルヘルム2世 (ドイツ皇帝)_平易化.xlsx
映画 聲の形,7,r_01_映画 聲の形_平易化.xlsx,r_02_映画 聲の形_平易化.xlsx
フン族の起源,3,r_01_フン族の起源_平易化.xlsx,r_02_フン族の起源_平易化.xlsx
松輸送,2,r_01_松輸送_平易化.xlsx,r_02_松輸送_平易化.xlsx
黒石,1,r_01_黒石_平易化.xlsx,r_02_黒石_平易化.xlsx
炎上 (映画),7,r_01_炎上 (映画)_平易化.xlsx,r_02_炎上 (映画)_平易化.xlsx
ヒヴァ・ハン国,2,r_01_ヒヴァ・ハン国_平易化.xlsx,r_02_ヒヴァ・ハン国_平易化.xlsx
ロンドン,2,r_01_ロンドン_平易化.xlsx,r_02_ロンドン_平易化.xlsx
マンスール,2,r_01_マンスール_平易化.xlsx,r_02_マンスール_平易化.xlsx
富岡製糸場,6,r_01_富岡製糸場_平易化.xlsx,r_02_富岡製糸場_平易化.xlsx
アウルク,2,r_01_アウルク_平易化.xlsx,r_02_アウルク_平易化.xlsx
竹永事件,3,r_01_竹永事件_平易化.xlsx,r_02_竹永事件_平易化.xlsx
川崎市の歴史,2,r_01_川崎市の歴史_平易化.xlsx,r_02_川崎市の歴史_平易化.xlsx
投下 (モンゴル帝国),2,r_01_投下 (モンゴル帝国)_平易化.xlsx,r_02_投下 (モンゴル帝国)_平易化.xlsx
突撃隊,2,r_01_突撃隊_平易化.xlsx,r_02_突撃隊_平易化.xlsx
酵素,4,s_01_酵素_平易化.xlsx,s_02_酵素.xlsx
ポーランド,2,r_01_ポーランド_平易化.xlsx,r_02_ポーランド_平易化.xlsx
ニューアーク方式,0,r_01_ニューアーク方式_平易化.xlsx,r_02_ニューアーク方式_平易化.xlsx
彗星,4,s_01_彗星_平易化.xlsx,s_02_彗星.xlsx
知多鉄道デハ910形電車,5,r_01_知多鉄道デハ910形電車_平易化.xlsx,r_02_知多鉄道デハ910形電車_平易化.xlsx
中華人民共和国の経済,3,r_01_中華人民共和国の経済_平易化.xlsx,r_02_中華人民共和国の経済_平易化.xlsx
はつゆきさくら,7,r_01_はつゆきさくら_平易化.xlsx,r_02_はつゆきさくら_平易化.xlsx
北大東島のリン鉱山,5,r_01_北大東島のリン鉱山_平易化.xlsx,r_02_北大東島のリン鉱山_平易化.xlsx
登録無形民俗文化財,7,r_01_登録無形民俗文化財_平易化.xlsx,r_02_登録無形民俗文化財_平易化.xlsx
荒川橋梁 (東北本線),5,r_01_荒川橋梁 (東北本線)_平易化.xlsx,r_02_荒川橋梁 (東北本線)_平易化.xlsx
エアバス ベルーガ,5,r_01_エアバス ベルーガ_平易化.xlsx,r_02_エアバス ベルーガ_平易化.xlsx
アラブ・ハザール戦争,2,r_01_アラブ・ハザール戦争_平易化.xlsx,r_02_アラブ・ハザール戦争_平易化.xlsx
ニヴフ,3,r_01_ニヴフ_平易化.xlsx,r_02_ニヴフ_平易化.xlsx
尾形藤吉,7,r_01_尾形藤吉_平易化.xlsx,r_02_尾形藤吉_平易化.xlsx
トクサ類,4,r_01_トクサ類_平易化.xlsx,r_02_トクサ類_平易化.xlsx
板橋競馬場,7,r_01_板橋競馬場_平易化.xlsx,r_02_板橋競馬場_平易化.xlsx
カール・ボッシュ,2,r_01_カール・ボッシュ_平易化.xlsx,r_02_カール・ボッシュ_平易化.xlsx
三国志演義の成立史,9,r_01_三国志演義の成立史_平易化.xlsx,r_02_三国志演義の成立史_平易化.xlsx
サンデーサイレンス,7,s_01_サンデーサイレンス_平易化.xlsx,s_02_サンデーサイレンス_平易化.xlsx
リッチマン、プアウーマン,7,r_01_リッチマン、プアウーマン_平易化.xlsx,r_02_リッチマン、プアウーマン_平易化.xlsx
箱根登山鉄道,6,r_01_箱根登山鉄道_平易化.xlsx,r_02_箱根登山鉄道_平易化.xlsx
クロアチアの歴史,2,r_01_クロアチアの歴史_平易化.xlsx,r_02_クロアチアの歴史_平易化.xlsx
矢ガモ,2,r_01_矢ガモ_平易化.xlsx,r_02_矢ガモ_平易化.xlsx
ダイアナ (プリンセス・オブ・ウェールズ),2,r_01_ダイアナ (プリンセス・オブ・ウェールズ)_平易化.xlsx,r_02_ダイアナ (プリンセス・オブ・ウェールズ)_平易化.xlsx
鹿島町藺牟田,2,r_01_鹿島町藺牟田_平易化.xlsx,r_02_鹿島町藺牟田_平易化.xlsx
藤沢市女子高生殺害事件,3,r_01_藤沢市女子高生殺害事件_平易化.xlsx,r_02_藤沢市女子高生殺害事件_平易化.xlsx
アナスタシア・ニコラエヴナ,2,r_01_アナスタシア・ニコラエヴナ_平易化.xlsx,r_02_アナスタシア・ニコラエヴナ_平易化.xlsx
マルワーン1世,2,r_01_マルワーン1世_平易化.xlsx,r_02_マルワーン1世_平易化.xlsx
ジョゼフ・プリーストリー,2,r_01_ジョゼフ・プリーストリー_平易化.xlsx,r_02_ジョゼフ・プリーストリー_平易化.xlsx
静岡県立中央図書館,0,r_01_静岡県立中央図書館_平易化.xlsx,r_02_静岡県立中央図書館_平易化.xlsx
株仲間解散令,2,r_01_株仲間解散令_平易化.xlsx,r_02_株仲間解散令_平易化.xlsx
単振動,4,r_01_単振動_平易化.xlsx,r_02_単振動_平易化.xlsx
